path,corpus,filename,n_pages,source_tool,source_category,content_type,recommended_strategy,n_native,n_scanned,n_mixed,n_empty,pages_needing_ocr,ocr_quality,parse_seconds,error
data/annuel_reports/STARR Companies/SIIS_Public_Disclosure_Statement_FY_2024_final_v1.1_20250626 STARR.pdf,annuel_reports,SIIS_Public_Disclosure_Statement_FY_2024_final_v1.1_20250626 STARR.pdf,14,Microsoft Word,word_native,native,use_native_extraction,14,0,0,0,0,not_applicable,2.18,
data/annuel_reports/SWISS RE CORPORATE SOLUTIONS (= SWISS RE CORSO)/2024-annual-report SWISS RE.pdf,annuel_reports,2024-annual-report SWISS RE.pdf,350,Adobe InDesign,design_tool,native,use_native_extraction,335,1,0,0,0,good,128.15,
data/annuel_reports/TOKIO MARINE KILN/2024-tmki-sfcr-with-qrts.pdf,annuel_reports,2024-tmki-sfcr-with-qrts.pdf,59,Adobe Acrobat,design_tool,native,use_native_extraction,58,0,1,0,0,not_applicable,19.2,
data/CG contrats MRH/CG allianz MRH.pdf,CG contrats MRH,CG allianz MRH.pdf,104,Adobe InDesign,design_tool,native,use_native_extraction,103,0,0,1,0,not_applicable,26.51,
data/CG contrats MRH/CG Assistance aux personnes AXA.pdf,CG contrats MRH,CG Assistance aux personnes AXA.pdf,20,Adobe InDesign,design_tool,mixed,per_page_routing,17,0,0,2,0,not_applicable,1.99,
data/CG contrats MRH/CG Habitation_MMA_410s.pdf,CG contrats MRH,CG Habitation_MMA_410s.pdf,80,Adobe InDesign,design_tool,native,use_native_extraction,77,0,0,3,0,not_applicable,34.82,
data/CG contrats MRH/CG MAIF.pdf,CG contrats MRH,CG MAIF.pdf,107,Adobe InDesign,design_tool,native,use_native_extraction,107,0,0,0,0,not_applicable,39.62,
data/CG contrats MRH/CG maison AXA.pdf,CG contrats MRH,CG maison AXA.pdf,109,Adobe InDesign,design_tool,native,use_native_extraction,108,0,0,0,0,not_applicable,29.68,
data/CG contrats MRH/CG MRH AVIVA.pdf,CG contrats MRH,CG MRH AVIVA.pdf,56,Adobe InDesign,design_tool,native,use_native_extraction,52,0,0,3,0,not_applicable,33.52,
data/CG contrats MRH/CG MRH GENERALI.pdf,CG contrats MRH,CG MRH GENERALI.pdf,64,Adobe InDesign,design_tool,native,use_native_extraction,59,0,0,5,0,not_applicable,31.29,
data/CG contrats MRH/CG MRH GROUPAMA.pdf,CG contrats MRH,CG MRH GROUPAMA.pdf,55,Ghostscript,other,native,use_native_extraction,55,0,0,0,0,not_applicable,14.77,
data/CG contrats MRH/CG mrh SG.pdf,CG contrats MRH,CG mrh SG.pdf,56,Adobe InDesign,design_tool,native,use_native_extraction,54,0,0,2,0,not_applicable,34.53,
data/CG contrats MRH/CG MRH_GMF.pdf,CG contrats MRH,CG MRH_GMF.pdf,112,Adobe InDesign,design_tool,native,use_native_extraction,102,0,0,5,0,not_applicable,21.35,
data/CG contrats MRH/cg_MRH_direct_assurance.pdf,CG contrats MRH,cg_MRH_direct_assurance.pdf,46,Adobe InDesign,design_tool,native,use_native_extraction,43,0,1,1,0,good,18.88,
data/cmo/CMO-April-2023.pdf,cmo,CMO-April-2023.pdf,58,Ghostscript,other,native,use_native_extraction,48,0,0,8,0,not_applicable,19.82,
data/cmo/CMO-April-2024.pdf,cmo,CMO-April-2024.pdf,52,Ghostscript,other,native,use_native_extraction,44,0,0,6,0,not_applicable,23.45,
data/cmo/CMO-April-2025.pdf,cmo,CMO-April-2025.pdf,68,Ghostscript,other,native,use_native_extraction,61,0,0,5,0,not_applicable,27.12,
data/cmo/CMO-April-2026.pdf,cmo,CMO-April-2026.pdf,69,Adobe InDesign,design_tool,native,use_native_extraction,59,0,0,8,0,not_applicable,36.6,
data/cmo/CMO-October-2023.pdf,cmo,CMO-October-2023.pdf,60,Ghostscript,other,native,use_native_extraction,51,0,0,7,0,not_applicable,31.14,
data/cmo/CMO-October-2024.pdf,cmo,CMO-October-2024.pdf,62,Adobe InDesign,design_tool,native,use_native_extraction,53,0,0,7,0,not_applicable,27.22,
data/cmo/CMO-October-2025.pdf,cmo,CMO-October-2025.pdf,66,Ghostscript,other,native,use_native_extraction,57,0,0,7,0,not_applicable,31.65,
data/insurance/agcs euroapi.pdf,insurance,agcs euroapi.pdf,77,Microsoft Word,word_native,native,use_native_extraction,77,0,0,0,0,not_applicable,12.62,
data/insurance/aviva.pdf,insurance,aviva.pdf,36,Adobe InDesign,design_tool,native,use_native_extraction,36,0,0,0,0,not_applicable,9.45,
data/insurance/axa.pdf,insurance,axa.pdf,42,Adobe InDesign,design_tool,native,use_native_extraction,40,0,1,0,0,not_applicable,4.09,
data/insurance/HACHETTE LIVRE_1159061_00_000.pdf,insurance,HACHETTE LIVRE_1159061_00_000.pdf,346,iText,other,native,use_native_extraction,345,0,0,0,0,not_applicable,104.91,
data/insurance/StateFarm.pdf,insurance,StateFarm.pdf,43,Adobe Acrobat,design_tool,native,use_native_extraction,43,0,0,0,0,not_applicable,8.97,
data/insurance/urbanjungle.pdf,insurance,urbanjungle.pdf,65,Unknown,other,native,use_native_extraction,64,0,0,0,0,not_applicable,31.72,
data/nist/NIST.CSWP.04162018.pdf,nist,NIST.CSWP.04162018.pdf,55,Microsoft Word,word_native,native,use_native_extraction,55,0,0,0,0,not_applicable,11.15,
data/nist/NIST.CSWP.29.pdf,nist,NIST.CSWP.29.pdf,32,Adobe PDF Library,other,native,use_native_extraction,32,0,0,0,0,not_applicable,6.08,
data/paper/1706.03762v7.pdf,paper,1706.03762v7.pdf,15,Unknown,other,native,use_native_extraction,15,0,0,0,0,not_applicable,5.94,
data/paper/2410.05229v1.pdf,paper,2410.05229v1.pdf,22,Unknown,other,native,use_native_extraction,22,0,0,0,0,not_applicable,16.86,
data/reports/sdg_7_2025.pdf,reports,sdg_7_2025.pdf,188,Adobe InDesign,design_tool,mixed,per_page_routing,164,14,10,0,6,good,71.45,
